CC,Player name,Team name,eDPI,DPI,Hz,Windows sensitivity,sensitivity,zoom_sensitivity_ratio,m_pitch,m_yaw,Mouse acceleration,Mouse,Mousepad
BG,spyleadeR,,3800,2000,,5,1.9,1.1,0.022,0.022,1,Logitech G302,SteelSeries QcK+ [Dota 2 Vengeful Spirit]
FI,KHRN,ENCORE,2300,1000,500,,2.3,1.2,0.022,0.022,1.05,Zowie EC?,Zowie G-SR
PL,rallen,Kinguin,2160,1800,500,6,1.2,1,0.022,0.022,0,SteelSeries Rival,SteelSeries QcK Mass
PT,fox,SK Gaming*,2070,450,,6,4.6,1,0.022,0.022,0,Zowie AM-GS,Zowie G-SR [fox]
US,Professor_Chaos,Muffin Lightning,2000,400,,10,5,,,,,Zowie FK?,Steelpad 4S
FI,jOELZ,,1860,400,1000,,4.65,0.85,0.022,0.022,1.05,Zowie FK2,Logitech G240
PL,Hyper,Pride Gaming*,1760,800,,,2.2,0.8,0.022,0.022,1.05,Zowie ZA12,Zowie G-SR
CA,NAF,OpTic Gaming,1620,1800,1000,6,0.9,0.856,0.022,0.022,0,Razer DeathAdder Chroma,Razer Goliathus
DE,kRYSTAL,,1600,1000,1000,6,1.6,0.6,0.022,0.022,0,SteelSeries Rival 100,SteelSeries QcK Heavy
US,Hiko,Team Liquid,1600,400,1000,6,4,1,0.022,0.022,0,Razer Abyssus,Razer Goliathus Speed
US,fREAKAZOiD,Echo Fox,1520,800,500,6,1.9,0.85,0.022,0.022,0,Razer DeathAdder Elite,Razer Goliathus Speed
ES,FlipiN,x6tence,1458,810,1000,6,1.8,1,0.022,0.022,0,SteelSeries Kinzu v3,SteelSeries DEX Gaming
SE,f0rest,Ninjas in Pyjamas,1400,400,500,6,3.5,1,0.022,0.022,0,Zowie EC2-A,Xtrfy XTP1-L4-NiP-LI
CZ,oskar,mousesports,1400,400,500,6,3.5,0.8,0.022,0.022,0,Razer DeathAdder Chroma,SteelSeries QcK Heavy
DE,strux1,,1395,450,,6,3.1,1,0.022,0.022,0,Zowie EC2 eVo,SteelSeries QcK+ [CS:GO]
PL,MINISE,Pride Gaming,1350,450,,6,3,1,0.022,0.022,0,Zowie,Zowie G-SR
FI,Allu,FaZe Clan,1320,400,1000,6,3.3,1,0.022,0.022,0,Zowie EC1,Xtrfy XTP1-L4-NiP-LI
US,Hazed,,1320,400,1000,6,3.3,0.85,0.022,0.022,0,SteelSeries Sensei RAW [Rubberized],SteelSeries 9HD
US,EliGE,Team Liquid,1312,1600,1000,6,0.82,0.82,0.022,0.022,0,Razer DeathAdder Chroma,Razer Goliathus Speed Extended
FR,Happy,EnVyUs,1280,400,1000,5,3.2,1,0.022,0.022,0,Zowie EC2-A,SteelSeries QcK Heavy
RU,flamie,Natus Vincere,1280,400,1000,6,3.2,1,0.022,0.022,0,Zowie EC?,Zowie G-SR [flamie]
RU,seized,Natus Vincere,1240,400,500,6,3.1,0.8,0.022,0.022,0,Zowie EC2-A,Zowie [seized]
FR,NBK,EnVyUs,1240,800,500,6,1.55,0.8,0.022,0.022,0,Zowie ZA11,Zowie G-SR
UA,s1mple,Natus Vincere,1236,400,1000,6,3.09,1,0.022,0.022,0,Zowie ZA13,Zowie G-SR [s1mple]
CA,steel,,1200,800,500,6,1.5,1,0.022,0.022,0,FinalMouse 2016,Zowie G-SR
SE,Xizt,Ninjas in Pyjamas,1200,400,500,6,3,1,0.022,0.022,0,Zowie FK?,SteelSeries QcK Heavy
BR,boltz,Immortals,1200,400,500,,3,1,0.022,0.022,0,SteelSeries Sensei,Zowie [BenQ]
RU,kibaken,Team Spirit,1200,400,500,6,3,1,0.022,0.022,0,Zowie FK1,SteelSeries QcK Heavy
KZ,mou,Gambit Gaming,1200,400,,,3,1,0.022,0.022,0,Zowie ZA13,Zowie G-SR [mou]
NL,mikeS,,1200,800,1000,,1.5,1,0.022,0.022,0,Zowie EC?,Razer Goliathus Speed
BR,steel,Immortals,1160,800,1000,6,1.45,0.81,0.022,0.022,0,SteelSeries Sensei,SteelSeries QcK Mass
SE,GeT_RiGhT,Ninjas in Pyjamas,1160,400,1000,6,2.9,1,0.022,0.022,0,Zowie EC1-A,Xtrfy XTP1-L4-GT-1
FI,aslak,,1160,400,1000,6,2.9,0.78,0.022,0.022,0,SteelSeries Kinzu,SteelSeries QcK Heavy
RU,spiker,,1160,400,500,6,2.9,1,0.022,0.022,0,Zowie EC1-A,Logitech G640
DE,asmo,,1152,400,,6,2.88,1,0.022,0.022,0,Zowie ZA11,SteelSeries QcK+
FR,fxy0,,1125,450,1000,6,2.5,1,0.022,0.022,0,Zowie EC2,SteelSeries QcK Heavy
UA,bondik,HellRaisers,1125,1800,1000,3,2.5,0.88,0.022,0.022,0,Razer Deathadder 3.5G,SteelSeries QcK Heavy
BG,nkl,,1120,800,1000,6,1.4,0.8,0.022,0.022,0,Zowie EC1-A,SteelSeries QcK Heavy
RU,jmqa,Elements Pro Gaming,1120,400,1000,6,2.8,1,0.022,0.022,0,SteelSeries Kana [White],SteelSeries QcK Mass
FI,natu,,1120,800,,6,1.4,1,0.022,0.022,,Zowie ZA12,Xtrfy XTP1-L4-ENCE-1
BE,davidp,,1120,400,1000,6,2.8,1,0.022,0.022,0,Zowie EC2-A,SteelSeries QcK Heavy
DE,keev,BIG,1120,400,500,,2.8,0.9,0.022,0.022,0,FinalMouse 2015,Zowie G-SR
US,jdm64,Team Liquid,1100,1600,1000,6,0.6875,1,0.022,0.022,0,Razer DeathAdder Elite,SteelSeries QcK Heavy
SE,xelos,,1100,500,500,6,2.2,,,,,ASUS ROG Gladius,QPAD
AU,Havoc,,1080,450,1000,6,2.4,0.7,-0.022,0.022,0,SteelSeries Rival,SteelSeries QcK+ [Na'Vi]
DK,AcilioN,,1080,800,1000,,1.35,1,0.022,0.022,0,Razer DeathAdder,Mionix Sargas 450 SK
CH,Maniac,,1080,400,1000,6,2.7,1,-0.022,0.022,0,SteelSeries Sensei RAW,SteelSeries QcK+
US,roca,Echo Fox,1080,1800,1000,6,0.6,1,0.022,0.022,0,Razer DeathAdder Chroma,Razer Goliathus Control Large
SE,zende,,1050,500,500,5,2.1,1,0.022,0.022,0,Zowie EC2,Xtrfy [CPH Wolves]
US,reltuC,Counter Logic Gaming,1040,800,,6,1.3,,,,,Razer DeathAdder 2013 [CLG],
BR,FalleN,SK Gaming,1040,400,,6,2.6,1.1,0.022,0.022,0,Zowie EC1-A,Zowie G-SR
